Dashboard,2.001857042312622
Customers,1.0647811889648438
Search for Customers,2.232110023498535
Create Customer Profile,2.3838469982147217
Import Customers,1.714233160018921
Export Customers,1.7132701873779297
Export Customer Emails,1.3586649894714355
Edit/Create Membership Levels,0.558372974395752
Customer Notes,1.966245174407959
Administrators,1.0655269622802734
Search for Admins,1.5701639652252197
Create Admin Profile,1.7121891975402832
Access Control,1.3754379749298096
Edit/Create Membership Levels,0.38140392303466797
Drivers,1.0715088844299316
Search for Drivers,1.562791347503662
Create Driver Profile,1.4643571376800537
Edit/Create Membership Levels,0.3591628074645996
Suppliers,1.066798210144043
Search for Suppliers,2.0430877208709717
Create Supplier Profile,1.666684865951538
Edit/Search Products,3.6858088970184326
Add New Product,2.4600439071655273
Import products,2.1105010509490967
Export products,1.35201096534729
Product Categories,1.5248010158538818
Extra fields,1.4686777591705322
Warehouse Locations,1.3748681545257568
Localness Icons,1.4187986850738525
Change/Assign Routes,1.557603120803833
Create/Edit Routes,3.9989309310913086
GPS Import/Export,1.4297990798950195
Organize Route Stops,1.5292079448699951
Pickup Locations,3.385303020477295
Organize Pickup Locations,1.3974008560180664
Manage KML File,1.5809333324432373
Display Route/KML Issues,1.3827989101409912
Organize Load Sheet,1.4526667594909668
Print Route Sheets,1.899346113204956
Print Bag Labels,1.6938650608062744
Show Invalid Addresses,213.2593071460724
Billing,1.0739200115203857
Paper/Email Billing,1.4523069858551025
Electronic Billing,1.5768370628356934
Mass Update Payments,1.4499800205230713
Mass Deposit Returns/Charges,1.8656761646270752
Global Invoice Notes,9.600210189819336
View GC Purchase Log,1.3776912689208984
Sales Reporting,1.0848169326782227
Top Customers,0.37896084785461426
Countdown Sales Report,1.4920499324798584
Cross-Selling Report,1.4247748851776123
Discount Coupon Report,1.3789000511169434
Manage Cross-Selling,1.3488869667053223
Ordered Products Reports,2.0828728675842285
Overall Sales,1.7489750385284424
Sales By Route,1.6580629348754883
Financials Reporting,1.0639269351959229
Average Order Report,1.433793067932129
Credits Report,1.3916490077972412
Effective Margin Report,1.3665966987609863
Financials Export,1.3765928745269775
No Payment Customers,10.201431035995483
Payments On Review,1.4219019412994385
Payments Posted Report,1.463223934173584
Profit Report,1.6550908088684082
Recent Payments Report,1.5964059829711914
Taxes Report,2.2198262214660645
Product Reporting,1.0624258518218994
Bagged Items Report,1.678009033203125
Customized Products,1.4695420265197754
Forecast,1.5455470085144043
Inventory,9.554694890975952
Product Reporting,1.0945689678192139
Load Sheet Report,1.4289538860321045
Out Of Stock Report,1.4505951404571533
Customer Reporting,1.0600039958953857
Top Customers,0.34701061248779297
Customer Reporting,1.0513691902160645
Customer Count Report,1.3677151203155518
Deposit Report,1.3967430591583252
Followup Report,1.4271769523620605
Friend Referral Report,1.4013340473175049
Minimum Order Report,1.385254144668579
Negative Balances,2.6302127838134766
New Customers,1.428088903427124
No Order Customers Report,1.4471659660339355
No Payment Customers,10.405564785003662
Customer Reporting,1.0696051120758057
On Hold Report,1.4936561584472656
Past Due Customers,0.4145982265472412
Customer Reporting,1.0554590225219727
Recurring Order Report,1.3949761390686035
Retention Report,1.3912420272827148
Show Inactive Customers,2.9294040203094482
Total Customers Report,1.3730571269989014
Vacation Report,1.3672981262207031
Misc. Reporting,1.0586681365966797
Birthday Report,1.385098934173584
Contact Us Report,1.4177751541137695
Coupon Usage,1.4106130599975586
Missing Orders,1.44081711769104
Coupons,1.387401819229126
Coupon Events,1.3742740154266357
Countdown Products,1.3552098274230957
Global Discounts,1.5172998905181885
Featured Products,1.7905309200286865
Sale Items,1.539186954498291
Manage Cross-Selling,1.35512113571167
First Time Order Specials,1.4688489437103271
Search Orders,1.5445656776428223
Create Purchase Order,1.6170060634613037
View Purchase Orders,1.0758740901947021
Autoresponders,1.5752241611480713
General News List,1.7470858097076416
Unsubscribers,1.766300916671753
Manage Files,1.4838111400604248
301 Redirects,1.3105568885803223
Company Settings,2.1686899662017822
States/Counties,1.5032918453216553
Taxes,1.068498134613037
Taxing Zones,1.3927288055419922
Taxing System,1.4027841091156006
Minimum Orders Settings,1.8358521461486816
Zip Codes,1.3966779708862305
Fees,1.0647869110107422
Delivery Charges,1.413409948348999
Deposit Charges,1.5414841175079346
Registration Fees,1.4065759181976318
Settings,1.0700957775115967
Store Locations,1.5744919776916504
DBP Settings,1.7242720127105713
DBP Billing,2.4451839923858643
Countries,1.415342092514038
States,1.4418790340423584
Settings,1.0652549266815186
Export/Import Cities,1.3713269233703613
Summary,1.4615821838378906
Credit card types,1.3647959232330322
Languages,1.4930801391601562
Modules,2.3317549228668213
Payment Methods,1.7111589908599854
Clear templates cache,2.015958070755005
System Logs,1.0713279247283936
DBP Overview,1.3853402137756348
Inventory,0.38802099227905273
Tasks,1.645543098449707
Periodic tasks,4.200024127960205
