Manage Cross-Selling,Marketing Tools,span,y,0
First Time Order Specials,Marketing Tools,span,y,0
Search Orders,Order History,span,y,0
Today's Orders,Order History,span,y,0
This Week's Orders,Order History,span,y,0
Next Week's Orders,Order History,span,y,0
Create Purchase Order,Purchase Orders,span,y,0
View Purchase Orders,Purchase Orders,span,y,0
Autoresponders,Customer Communication,span,y,0
General News List,Customer Communication,span,y,0
Marketing,Customer Communication,span,y,0
"Product Sales, Promotions, and Featured Product Events",Customer Communication,span,y,0
Unsubscribers,Customer Communication,span,y,0
Edit Static Pages,Content Management,span,y,0
Manage Files,Content Management,span,y,0
Recipes,Content Management,span,n,0
301 Redirects,Content Management,span,y,0
FAQ,Content Management,span,n,0
Company Settings,Settings,span,y,0
States/Counties,Settings,span,y,0
Taxes,Settings,span,y,0
Taxing Zones,Settings,a,y,0
Taxing System,Settings,a,y,0
Minimum Orders Settings,Settings,span,y,0
Zip Codes,Settings,span,y,0
Fees,Settings,span,y,0
App Settings,Driver App,span,n,0
Driver Log Report,Driver App,span,n,0
Settings,DBP Settings,span,y,0
Store Locations,DBP Settings>Settings,a,y,0
DBP Settings,DBP Settings>Settings,a,y,0
DBP Billing,DBP Settings>Settings,a,y,0
Countries,DBP Settings>Settings,a,y,0
States,DBP Settings>Settings,a,y,0
Settings,DBP Settings,span,y,0
Export/Import Cities,DBP Settings>Settings,a,y,0
Summary,DBP Settings>Settings,a,y,0
Credit card types,DBP Settings>Settings,a,y,0
General Settings,DBP Settings>Settings,a,y,0
Languages,DBP Settings>Settings,a,y,0
Modules,DBP Settings>Settings,a,y,0
Payment Methods,DBP Settings>Settings,a,y,0
Clear templates cache,DBP Settings>Settings,a,y,0
System Logs,DBP Settings,span,y,0
DBP Overview,DBP Settings>System Logs,a,y,0
Inventory,DBP Settings>System Logs,a,y,1
Tasks,DBP Settings>System Logs,a,y,0
Periodic tasks,DBP Settings>System Logs,a,y,0
